score,ok,max_att,threshold,lookahead,release,knee,bias,noise,signal,ssnr
4.143278286325387,True,18.0,12.0,4,80.0,12.0,1.0,-6.042168511066577,-0.9845877900217688,8.241748132688633
6.93460987460228,False,30.0,9.0,4,80.0,6.0,1.5,-16.203754125518135,-1.6500893618826418,5.5548734773926105
6.7572753900493225,False,30.0,12.0,4,80.0,6.0,1.2,-18.002291272224685,-1.9322925315435828,4.990242416254268
6.624147969095304,False,30.0,12.0,4,80.0,6.0,1.0,-15.178975398058748,-1.5642041172203365,5.783204021375358
5.8777003445452625,False,30.0,9.0,4,40.0,6.0,1.5,-16.99257458559898,-1.8168276980961966,4.882115986644011
5.828465953073243,False,30.0,12.0,4,40.0,6.0,1.2,-18.90831960824301,-2.1099873179568704,4.339365709376998
5.589427288018685,False,24.0,9.0,4,80.0,6.0,1.5,-13.32051115660225,-1.5335869790510779,6.14915009431141
5.517556484800984,False,30.0,12.0,4,40.0,6.0,1.0,-15.91147348787059,-1.7278214152912692,5.109085181428676
5.396403314159716,False,24.0,12.0,4,80.0,6.0,1.0,-12.465820665343436,-1.4520100599531018,6.357617974364367
5.384459722181555,False,30.0,9.0,2,80.0,6.0,1.5,-16.578031778853838,-1.9614386814302798,5.059683553835853
5.344173804542843,False,24.0,12.0,4,80.0,6.0,1.2,-14.837317808007855,-1.7905285610369865,5.653532399849548
5.315340760445395,False,30.0,9.0,4,80.0,6.0,1.2,-12.256181354230577,-1.3831490021982817,6.3186147664314065
5.241689479474168,False,30.0,12.0,4,20.0,6.0,1.2,-19.493089218669855,-2.230916981882866,3.9349871632530307
5.219870275116234,False,30.0,9.0,4,20.0,6.0,1.5,-17.503091336174453,-1.9256654245248919,4.4611991662848025
5.141128373148309,False,30.0,12.0,2,80.0,6.0,1.2,-18.313290248136607,-2.2682277571198255,4.530572258212164
5.131085050086645,False,30.0,12.0,2,80.0,6.0,1.0,-15.582522831410175,-1.8661183940792967,5.287770260483755
4.8357049376595125,False,30.0,12.0,4,20.0,6.0,1.0,-16.38870133259914,-1.8331258070292895,4.687502073100695
4.70046477612898,False,30.0,9.0,4,80.0,12.0,1.5,-10.673452312315533,-1.3803455328494902,6.798336091207534
4.649417621236276,False,30.0,12.0,4,80.0,12.0,1.2,-12.188493997729472,-1.605688008293915,6.35330538422085
4.590545548294918,False,18.0,9.0,4,80.0,6.0,1.5,-10.185975835756276,-1.3607178704332041,6.957673221945702
4.5474655441566725,False,30.0,12.0,4,80.0,12.0,1.0,-9.874991753085942,-1.301054947347046,7.002130876582509
4.517080683248048,False,24.0,9.0,4,80.0,6.0,1.2,-10.021539527490154,-1.271237733606332,6.868938738315021
4.514516936014793,False,18.0,12.0,4,80.0,6.0,1.0,-9.532442426023282,-1.2854436998444088,7.133514364788944
4.483405328317103,False,30.0,6.0,4,80.0,6.0,1.5,-10.054173719702918,-1.2295535927143029,6.7732577534051215
4.291664582744215,False,18.0,12.0,4,80.0,6.0,1.2,-11.353048355582303,-1.585292545468027,6.5615584918095715
4.287323946104131,False,24.0,9.0,4,80.0,12.0,1.5,-8.62973483316135,-1.2396712730155255,7.402613026021253
4.233205716143764,False,12.0,9.0,4,80.0,12.0,1.5,-4.387079238942667,-0.7991590921762608,8.836113436891514
4.220031792823457,False,24.0,12.0,4,80.0,12.0,1.0,-7.983351949991909,-1.164828341479858,7.579893993662136
4.2181769856649565,False,12.0,12.0,4,80.0,12.0,1.0,-4.060660933766096,-0.7444468603517823,8.909739876503679
4.21622269457807,False,12.0,9.0,4,80.0,6.0,1.5,-6.888151274012446,-1.0936044770550042,8.018753985891893
4.210888444410403,False,12.0,12.0,4,80.0,6.0,1.0,-6.450394633572226,-1.0294210819074874,8.138690088306895
4.19884447932359,False,30.0,9.0,2,40.0,6.0,1.5,-17.430877162378,-2.1630634906412776,4.342890454461286
4.16034608145177,False,24.0,9.0,2,80.0,6.0,1.5,-13.638518135358346,-1.8258305322005046,5.713971331374044
4.158836899555405,False,18.0,9.0,4,80.0,12.0,1.5,-6.530227477724931,-1.0519693751597765,8.106570333681477
4.152579862521785,False,24.0,12.0,4,80.0,12.0,1.2,-9.860952385994546,-1.444179047046865,7.026393868860492
4.150011104204543,False,24.0,9.0,4,40.0,6.0,1.5,-13.836608020869235,-1.7185927072341407,5.44890216254544
4.147647460667825,False,30.0,9.0,4,80.0,6.0,1.0,-8.936089756296003,-1.1489742467557464,7.043551782346106
4.131315446473425,False,12.0,12.0,4,80.0,12.0,1.2,-5.010863200026816,-0.9376362756346884,8.680992096701912
4.084790479759754,False,30.0,9.0,4,40.0,6.0,1.2,-12.822616971206907,-1.544999800312462,5.662898014771692
4.0829659195043275,False,12.0,9.0,4,80.0,12.0,1.2,-3.155293126955146,-0.6062194549726491,9.08747713876014
4.0592151422525165,False,18.0,9.0,4,80.0,6.0,1.2,-7.651506373990739,-1.1102859871653947,7.583594924905555
4.057407896517436,False,30.0,12.0,2,40.0,6.0,1.2,-19.275755493117877,-2.489923659146734,3.8400232504464547
4.03163131782506,False,12.0,9.0,4,80.0,6.0,1.2,-5.179200718395243,-0.8735672951885726,8.450877802524342
4.020880889902823,False,24.0,12.0,2,80.0,6.0,1.0,-12.807884601742828,-1.7356629809685205,5.924304175559353
4.016955540608603,False,24.0,6.0,4,80.0,6.0,1.5,-8.185053544401255,-1.117798022130279,7.3069595913256675
4.007751246798126,False,30.0,9.0,4,80.0,12.0,1.2,-7.67701152621758,-1.1089483580100576,7.543103957331934
4.000915282984505,False,18.0,9.0,4,80.0,12.0,1.2,-4.693272148236993,-0.8157446989429867,8.591750175814811
3.9958230913441657,False,18.0,12.0,4,80.0,12.0,1.2,-7.461870041195303,-1.2289772139677142,7.824753906052577
3.983110817880947,False,30.0,9.0,2,80.0,6.0,1.2,-12.706353905106996,-1.6652169492937,5.8505154403541
3.964936894910969,False,12.0,6.0,4,80.0,12.0,1.5,-2.495780658954079,-0.4979944575677167,9.195881364356595
3.953816092239844,False,24.0,12.0,4,40.0,6.0,1.0,-12.958442172110272,-1.6334971030454917,5.662244174659598
3.9522354504148955,False,12.0,12.0,4,80.0,6.0,1.2,-7.672257006254893,-1.273198598486595,7.764098679836469
3.9406521165335997,False,12.0,6.0,4,80.0,6.0,1.5,-4.212854108134806,-0.7446296864803593,8.69515509394651
3.93686103309037,False,24.0,12.0,4,40.0,6.0,1.2,-15.401476823029432,-1.9865772093751737,4.961869479119804
3.9334322484341797,False,24.0,9.0,4,80.0,12.0,1.2,-6.201697244711878,-0.9799149789569782,8.050051530323193
3.925568633347587,False,18.0,6.0,4,80.0,12.0,1.5,-3.7140085835522942,-0.6800838507547905,8.840217361056407
3.9115474629508817,False,30.0,12.0,2,40.0,6.0,1.0,-16.386215007678228,-2.061762338137377,4.569621294868967
3.896592358753323,False,12.0,9.0,4,80.0,6.0,1.0,-3.734283152164489,-0.6781983815255281,8.812763735609284
3.880745375528303,False,18.0,9.0,4,80.0,12.0,1.0,-3.245345804232043,-0.6114493503183044,8.949185371152161
3.8480001913715194,False,12.0,9.0,4,80.0,12.0,1.0,-2.180564137904188,-0.4441879821775563,9.2364263379448
3.8478551766097038,False,24.0,12.0,2,80.0,6.0,1.2,-15.104510123746431,-2.1045484802925905,5.2428068068970965
3.839731933752855,False,18.0,6.0,4,80.0,6.0,1.5,-6.23302576570867,-0.9627884596050919,7.961847333456305
3.8358379920565646,False,24.0,9.0,4,80.0,6.0,1.0,-7.264567391089038,-1.0372420292592992,7.555809904399287
3.8248944689921807,False,24.0,6.0,4,80.0,12.0,1.5,-4.91118346752372,-0.8280276130919909,8.413208480398792
3.785776760444187,False,24.0,9.0,4,80.0,12.0,1.0,-4.29227209956542,-0.7500036596035926,8.586069379871347
3.7805012606981876,False,30.0,6.0,4,80.0,12.0,1.5,-6.085877855283331,-0.948384788760248,7.984200445874375
3.7675973565979284,False,18.0,9.0,4,80.0,6.0,1.0,-5.527547957139062,-0.8858053759776903,8.163044323722543
3.727197944996533,False,12.0,12.0,2,80.0,12.0,1.0,-4.19819173803602,-0.902832153157525,8.833062893243119
3.7114191740627938,False,30.0,9.0,4,80.0,12.0,1.0,-5.320436931183813,-0.8648720609822963,8.20711077293951
3.7067227292069678,False,12.0,9.0,2,80.0,12.0,1.2,-3.2988797474696896,-0.7473347290807767,9.039235144516379
3.70341561489471,False,12.0,9.0,2,80.0,12.0,1.5,-4.519664595900895,-0.9637826296450857,8.75186101399111
3.692821250472253,False,12.0,6.0,4,80.0,6.0,1.2,-2.390738922156811,-0.47359520584459164,9.075745532951183
3.6714069348463294,False,18.0,6.0,4,80.0,12.0,1.2,-2.000795715662102,-0.41081382584136367,9.165837908380734
3.668829291516921,False,12.0,6.0,2,80.0,12.0,1.5,-2.6344037191543284,-0.6252834034705487,9.169449451413694
3.6213401464588557,False,12.0,9.0,2,80.0,12.0,1.0,-2.312686260688134,-0.5637820380764261,9.220850542288774
3.617847028697131,False,24.0,6.0,4,80.0,12.0,1.2,-2.6411312857966758,-0.5146948972956423,8.974711777420266
3.546923140867124,False,18.0,6.0,4,80.0,6.0,1.2,-3.525091356082292,-0.6380104340774762,8.682243103535205
3.5337959428922385,False,12.0,12.0,2,80.0,12.0,1.2,-5.132805196842068,-1.1151814482624458,8.587579105445329
3.523552875145601,False,30.0,6.0,4,80.0,12.0,1.2,-3.2675412347088977,-0.6054453905157228,8.75048546601851
3.4868536957241467,False,30.0,9.0,2,20.0,6.0,1.5,-18.017327559181073,-2.3017954887380254,3.901767861405149
3.4713351816928806,False,12.0,6.0,4,80.0,12.0,1.2,-1.3469137167026162,-0.2918595116699119,9.293197838475114
3.4466788022895622,False,12.0,3.0,4,80.0,6.0,1.5,-1.3876483016370067,-0.30232245697772275,9.197310495819437
3.4190872605013816,False,30.0,9.0,2,80.0,12.0,1.5,-10.98822515479859,-1.6527020575798916,6.408795699247808
3.4084360781460976,False,24.0,3.0,4,80.0,12.0,1.5,-1.4941332386921318,-0.3234963228986894,9.156707464101592
3.408284968934902,False,12.0,9.0,4,40.0,12.0,1.0,-2.2791754893660667,-0.5593413416177918,9.11787831223768
3.4029861062886826,False,12.0,6.0,4,40.0,12.0,1.5,-2.602817476828754,-0.6232209987398855,9.049227372866367
3.4028562674984943,False,24.0,6.0,4,80.0,6.0,1.2,-4.615687828161808,-0.7677327007717802,8.259494830852589
3.3904269315248827,False,12.0,12.0,2,80.0,6.0,1.0,-6.632247338231063,-1.236676151088794,7.948415583306676
3.3896399057831,False,18.0,9.0,2,80.0,12.0,1.0,-3.4399338745392747,-0.7730831772036829,8.848789341454012
3.3846425523300887,False,30.0,12.0,2,20.0,6.0,1.2,-19.929189565565405,-2.6496711306507486,3.41654474938504
3.3769550263032695,False,18.0,6.0,2,80.0,12.0,1.5,-3.9181053351981725,-0.8507258025702872,8.719825109434554
3.3729881882648463,False,18.0,3.0,4,80.0,12.0,1.5,-1.1356718272725703,-0.2542278796692414,9.243340872194896
3.371767875982781,False,18.0,6.0,2,80.0,12.0,1.2,-2.175292095948088,-0.5419378994230432,9.125456299178486
3.3715771641932246,False,18.0,9.0,2,80.0,6.0,1.5,-10.433446744077779,-1.6232734381841805,6.618286927360568
3.3646723269760628,False,12.0,9.0,4,40.0,12.0,1.2,-3.275447268938104,-0.749142269793587,8.882637493735935
3.3556080066493976,False,12.0,9.0,2,80.0,6.0,1.5,-7.0568011002485775,-1.307228701728367,7.824558065819535
3.347921795789212,False,30.0,9.0,4,20.0,6.0,1.2,-13.20773145676601,-1.6464405155668522,5.254067502888454
3.34606409602097,False,30.0,6.0,4,80.0,6.0,1.2,-5.660096736409482,-0.8706113807098476,7.86321231089709
3.3440492648843705,False,18.0,12.0,2,80.0,6.0,1.0,-9.798760228585232,-1.540342469084698,6.7974697818031915
3.3413939531513375,False,30.0,3.0,4,80.0,12.0,1.5,-1.8422386139144091,-0.38628243164229065,9.043312877108475
3.3405002371276167,False,18.0,9.0,2,80.0,12.0,1.2,-4.9047946974585495,-1.0021913131650912,8.435451299608745
3.340490383201754,False,12.0,9.0,2,80.0,6.0,1.0,-3.9359353432638624,-0.8494575789863928,8.69077544847511
3.338326805606611,False,12.0,9.0,2,80.0,6.0,1.2,-5.384091369788584,-1.0644534643973815,8.28810947453166
3.337780289733991,False,12.0,6.0,2,80.0,6.0,1.5,-4.420797354339476,-0.9232235236381037,8.557638313180988
3.332683259018065,False,18.0,12.0,2,80.0,12.0,1.0,-6.245583885976701,-1.1910072579096906,8.044372133411793
3.3326069982374067,False,18.0,3.0,4,80.0,6.0,1.5,-2.03139422187826,-0.41751439822553166,8.991189545544445
3.3304387527259003,False,12.0,6.0,4,80.0,6.0,1.0,-0.9863687479878537,-0.21864333175398443,9.22575339485694
3.3290882123167096,False,24.0,6.0,4,80.0,12.0,1.0,-1.047977354497496,-0.2323164906073972,9.203341724847277
3.3189513548479255,False,30.0,12.0,2,80.0,12.0,1.0,-10.201180697509324,-1.5651020837119998,6.620850014263875
3.3189090729101873,False,12.0,6.0,2,80.0,6.0,1.2,-2.583279393139039,-0.6185204952850739,9.00990714283976
3.317655022894849,False,12.0,12.0,4,80.0,12.0,1.5,-6.0149048032904995,-1.4202370035536693,8.496042175159253
3.305098517192315,False,12.0,6.0,2,80.0,12.0,1.2,-1.4647272044470834,-0.38654289575158957,9.304747811136002
3.303803547338434,False,12.0,6.0,4,40.0,12.0,1.2,-1.4286469389383185,-0.37494779719996146,9.242043964542836
3.301891952019796,False,12.0,12.0,4,40.0,12.0,1.0,-4.190683559928206,-0.9077912170174391,8.631602581598528
3.2993899014090884,False,18.0,9.0,2,80.0,12.0,1.5,-6.726494448490687,-1.2658125788827788,7.899478154809944
3.294832676503013,False,24.0,9.0,2,80.0,6.0,1.2,-10.4017226755163,-1.5359229474180918,6.464750981647069
3.2911394842287374,False,30.0,6.0,4,80.0,12.0,1.0,-1.2916519539024227,-0.2791319300430732,9.132753220254342
3.2874128471779915,False,18.0,6.0,4,80.0,6.0,1.0,-1.4422875161370419,-0.30510081326341904,9.094525445442178
3.282718167324937,False,30.0,12.0,2,80.0,12.0,1.2,-12.477023406382232,-1.8977038531328334,5.963714720197178
3.2526547200693123,False,18.0,6.0,4,80.0,12.0,1.0,-0.7968700656478895,-0.18140511519285904,9.253890390628275
3.250873440446777,False,12.0,9.0,4,40.0,12.0,1.5,-4.517792278668151,-0.9695811682685042,8.535223893318644
3.2337739076025405,False,12.0,3.0,4,80.0,12.0,1.5,-0.7670381756531971,-0.17775475601688565,9.290338419224865
3.2336685933783462,False,12.0,3.0,2,80.0,6.0,1.5,-1.5641717867250622,-0.4171088480920551,9.1747232354913
3.233578644295406,False,24.0,9.0,4,20.0,6.0,1.5,-14.167374415666693,-1.8396187838120739,5.006841850059042
3.2245413688467783,False,18.0,3.0,2,80.0,12.0,1.5,-1.2872082761704204,-0.3542223024412141,9.24009303976839
3.224228627190037,False,30.0,6.0,2,80.0,6.0,1.5,-10.516042784872043,-1.5017031042021642,6.320959137488818
3.194148151122091,False,12.0,6.0,2,80.0,6.0,1.0,-1.1389222777664316,-0.31492470888144686,9.22078600886321
3.19194361199747,False,30.0,12.0,2,20.0,6.0,1.0,-16.944631329710194,-2.1936032782588635,4.128372618558508
3.178150334284026,False,24.0,9.0,2,80.0,12.0,1.5,-8.887087226335337,-1.4879071645259918,7.091703860789907
3.1688862782115734,False,30.0,6.0,4,40.0,6.0,1.5,-10.509615201351119,-1.393511448847329,6.134214271727796
3.168466595037324,False,18.0,6.0,4,40.0,12.0,1.2,-2.1208292664820934,-0.5200400343499582,9.018190275829127
3.1640545842222156,False,18.0,3.0,4,40.0,12.0,1.5,-1.234220727635219,-0.3295315804061221,9.173525858929256
3.1631040384764946,False,24.0,12.0,2,80.0,12.0,1.0,-8.249957240483923,-1.405069577209086,7.27848932483649
3.1604223995574467,False,12.0,6.0,4,80.0,12.0,1.0,-0.5384323061831785,-0.12600330220857722,9.277124297092628
3.1535207452397414,False,12.0,6.0,4,20.0,12.0,1.2,-1.4939605811064067,-0.43543201295077827,9.19723966151941
3.1529211875074137,False,24.0,6.0,4,80.0,6.0,1.0,-1.8724450140774145,-0.3794065448051381,8.923659463949281
3.1528963145339337,False,18.0,6.0,4,40.0,12.0,1.0,-0.8766858924307798,-0.23967527555255705,9.211929684406988
3.1487082659586,False,24.0,3.0,4,80.0,6.0,1.5,-2.640201222019476,-0.5141620268357386,8.739808122249745
3.1467355912185067,False,24.0,6.0,2,80.0,12.0,1.0,-1.2173531482120692,-0.3368174756806746,9.184228995050805
3.1463125829123033,False,24.0,6.0,2,80.0,12.0,1.2,-2.8707775460749185,-0.6761684998585046,8.866331828233024
3.1442196057560157,False,30.0,9.0,4,40.0,12.0,1.5,-11.053741413051327,-1.5740407445621045,6.120611773222076
3.1421320121003244,False,24.0,3.0,2,80.0,12.0,1.5,-1.6937382247363704,-0.44907202340713104,9.112116488819249
3.134608493710117,False,12.0,3.0,4,40.0,12.0,1.5,-0.8344266069244455,-0.23327270440477624,9.273756365689307
3.133873319874701,False,18.0,6.0,2,80.0,12.0,1.0,-0.9255316800435711,-0.2638861200562901,9.262924586739006
3.1249118980293487,False,12.0,9.0,0,80.0,12.0,1.0,-2.6746959736562723,-0.8023793529689413,9.142988551666525
3.1236061030449336,False,12.0,3.0,2,80.0,12.0,1.5,-0.8692833808718623,-0.24855909260897624,9.313139947795833
3.1143519136266056,False,12.0,6.0,2,40.0,12.0,1.2,-1.5711364856394303,-0.4855948573376084,9.247096963975757
3.1037306972892775,False,12.0,6.0,4,40.0,6.0,1.0,-1.0826439244147987,-0.28694734175792663,9.155275959100704
3.0960756331407424,False,12.0,9.0,2,40.0,12.0,1.0,-2.4386824907002143,-0.6978192275044314,9.089736972503486
